log_id,machine_id,operator_id,timestamp,engine_hours,rpm,hydraulic_pressure,fuel_level,fuel_used_l,idle_time_min,active_time_min,speed_kph,tilt_angle,temperature_c,seatbelt,proximity_alert,fault_codes,weather,soil_type,shift
1,EXC001,OP009,2024-01-01 00:00:00,6757.6,1762,148.0,75.6,13.17,16,111,6.9,7.6,74.6,fastened,0,P0217,sunny,clay,night
2,EXC004,OP001,2024-01-01 00:30:00,3626.5,1888,245.8,90.6,4.07,72,66,12.7,2.3,39.4,unfastened,0,NONE,windy,clay,night
3,EXC004,OP004,2024-01-01 01:00:00,7628.5,1081,268.7,61.9,7.59,51,77,14.2,6.6,44.4,unfastened,0,NONE,rainy,rock,day
4,EXC003,OP005,2024-01-01 01:30:00,5241.3,1242,136.7,55.2,0.93,3,48,8.7,17.7,101.8,fastened,0,NONE,windy,loam,day
5,EXC003,OP008,2024-01-01 02:00:00,1015.6,2301,309.19658846987426,89.6,0.63,64,107,7.7,10.9,68.1,fastened,0,NONE,cloudy,loam,day
6,EXC005,OP002,2024-01-01 02:30:00,7092.2,2295,196.7,48.2,10.73,79,18,10.4,3.8,44.4,fastened,0,P0562,windy,clay,day
7,EXC001,OP005,2024-01-01 03:00:00,3965.2,1343,270.3,82.1,2.22,19,40,10.5,6.9,89.8,unfastened,0,P0100,cloudy,rock,day
8,EXC004,OP002,2024-01-01 03:30:00,1218.9,1033,243.2,10.1,8.44,87,119,7.7,21.0,65.3,fastened,1,NONE,cloudy,loam,day
9,EXC002,OP008,2024-01-01 04:00:00,1306.3,1142,254.4,5.1,10.59,71,63,13.6,9.5,77.9,fastened,0,NONE,cloudy,clay,night
10,EXC001,OP007,2024-01-01 04:30:00,5531.5,1569,188.6,55.2,0.97,66,29,7.2,9.7,52.3,fastened,0,P0217,rainy,rock,day
11,EXC003,OP005,2024-01-01 05:00:00,474.2,1620,151.7,12.0,7.01,30,55,8.2,3.4,34.3,fastened,0,NONE,sunny,sand,night
12,EXC005,OP004,2024-01-01 05:30:00,2364.1,2228,217.0,97.8,10.42,10,38,10.9,6.7,42.4,fastened,1,NONE,rainy,clay,day
