task_id,machine_id,operator_id,task_type,estimated_time,actual_time,weather,soil_type,operator_skill,machine_age_yrs,load_weight_t,completed,date
1,EXC005,OP007,compact,41.6,43.6,sunny,loam,mid,3.0,7.2,1,2024-12-15 00:00:00
2,EXC003,OP001,grade,42.8,55.8,cloudy,sand,junior,12.4,8.7,1,2024-10-05 00:00:00
3,EXC004,OP003,dig,59.5,84.2,windy,clay,junior,4.1,11.1,1,2024-10-01 00:00:00
4,EXC002,OP009,compact,35.3,42.4,rainy,sand,senior,5.4,2.3,1,2024-07-23 00:00:00
5,EXC001,OP004,trench,74.1,80.5,cloudy,clay,mid,8.6,5.7,0,2024-08-12 00:00:00
6,EXC004,OP001,compact,42.0,67.5,sunny,rock,junior,2.4,2.8,1,2024-12-09 00:00:00
7,EXC003,OP009,trench,68.4,64.7,sunny,sand,mid,0.5,16.8,1,2024-03-26 00:00:00
8,EXC002,OP001,trench,62.5,72.7,windy,sand,mid,3.6,20.4,1,2024-06-22 00:00:00
9,EXC003,OP007,grade,37.4,49.9,sunny,rock,mid,7.9,2.2,1,2024-12-30 00:00:00
10,EXC003,OP007,dig,52.7,67.9,cloudy,rock,senior,6.9,13.7,1,2024-11-06 00:00:00
11,EXC005,OP004,dig,51.5,77.6,rainy,rock,senior,7.4,4.8,1,2024-03-19 00:00:00
12,EXC001,OP008,grade,40.4,59.3,rainy,loam,mid,9.7,7.6,1,2024-10-26 00:00:00
13,EXC004,OP001,load,28.5,47.4,windy,sand,junior,15.0,15.6,1,2024-10-09 00:00:00
14,EXC004,OP009,grade,41.4,59.4,windy,sand,junior,10.3,8.5,1,2024-01-06 00:00:00
15,EXC001,OP002,compact,37.7,58.3,rainy,clay,mid,6.7,9.8,1,2024-11-04 00:00:00
16,EXC002,OP003,dig,49.8,60.8,sunny,rock,mid,5.6,7.6,1,2024-01-13 00:00:00
17,EXC004,OP001,grade,51.0,55.3,sunny,clay,mid,5.6,20.2,1,2024-08-09 00:00:00
18,EXC005,OP010,compact,35.9,58.5,rainy,sand,mid,12.7,7.8,1,2024-04-26 00:00:00
19,EXC004,OP009,grade,46.7,63.6,sunny,clay,junior,1.6,13.8,1,2024-06-27 00:00:00
20,EXC004,OP010,trench,71.2,79.7,cloudy,loam,senior,11.9,15.4,1,2024-04-12 00:00:00
21,EXC001,OP010,trench,64.3,122.9,rainy,rock,junior,1.2,4.6,1,2024-12-24 00:00:00
22,EXC001,OP004,load,34.5,34.7,sunny,loam,senior,13.7,19.4,1,2024-07-25 00:00:00
23,EXC002,OP006,grade,51.1,75.5,rainy,clay,senior,13.3,11.7,1,2024-05-09 00:00:00
24,EXC005,OP003,load,23.1,56.4,cloudy,rock,junior,0.2,9.7,1,2024-07-08 00:00:00
25,EXC004,OP009,compact,39.1,69.7,sunny,rock,mid,11.3,6.6,1,2024-03-20 00:00:00
